20240202	15:38:59	dc034b0d-0a50-467e-8742-8382455263f1	/	GET
20240202	15:38:59	9e1f6c30-a756-4bb3-b1bf-133a2c266ef8	/css/style.css	GET
20240202	15:38:59	e8b4a49e-6313-4a1e-a4b6-f60ae8036007	/favicon.ico	GET
20240204	16:14:38	39f8243b-c5b1-41d3-bafe-18984420eb77	GET	 undefined 	 /new-page
20240204	16:19:01	e4893fae-214b-46b9-93f3-68842d8fb4e7	GET	 undefined 	 /new-page
20240204	16:19:01	f1c407a8-579f-494d-8988-88d41f19ab25	GET	 undefined 	 /img/img1.jpg
20240204	16:19:02	a22f259b-2575-44b0-8bad-c6b7f6637f6f	GET	 undefined 	 /new-page
20240204	16:19:02	85f74654-5235-4b75-9769-3eb63628148e	GET	 undefined 	 /img/img1.jpg
20240204	16:20:50	a15be2ce-e7af-4087-98a2-9aba03a6c53a	GET	 undefined 	 /new-page
20240204	16:20:50	906d0c9f-5d37-427a-8745-26127702efac	GET	 undefined 	 /img/img1.jpg
20240204	16:20:50	81359e2a-9023-40b5-a26a-6fc6319b54e3	GET	 undefined 	 /new-page
20240204	16:20:50	fe4cf3b2-46f7-4256-aede-04c9b5615179	GET	 undefined 	 /img/img1.jpg
20240204	16:21:19	435323f5-122b-486c-8caa-cd9c36257e2a	GET	 undefined 	 /new-page
20240204	16:22:13	5a0121be-0c4f-408b-8dfd-f39ca7f57a30	GET	 undefined 	 /new-page
20240204	16:22:25	b193be5b-e88a-46d7-b765-622917625518	GET	 undefined 	 /
20240204	16:31:36	78e30d53-81e9-4ac4-ade6-79513cd67fa4	GET	 undefined 	 /
20240204	16:31:59	58d4a327-af0d-4507-b139-6c66881ff7b3	GET	 undefined 	 /
20240204	16:32:01	63ffa82a-49f1-48c1-a35b-57d237c94db4	GET	 undefined 	 /
20240204	20:57:25	a030a7e1-ea07-4634-8905-77ce558355e7	GET	 undefined 	 /
20240204	20:57:27	88362d9d-6c01-40f5-bf03-f53e17b7c194	GET	 undefined 	 /favicon.ico
20240204	21:19:21	eb2c53dc-2657-41dd-b17c-5264b17de327	GET	 undefined 	 /
20240204	21:36:02	1bf79d7a-4367-4fc4-a635-697fa8dbe30a	OPTIONS	 https://www.google.com 	 /
20240204	21:36:02	e0969efa-730b-4d0c-8e2b-e7cb7faf20f6	GET	 https://www.google.com 	 /
20240204	21:36:08	a1187667-485c-4b8f-a044-22ac5afd2c69	OPTIONS	 https://www.google.com 	 /
20240204	21:36:08	4b05f402-bb2b-491d-9ba6-8d77c41050a2	GET	 https://www.google.com 	 /
20240204	21:45:26	37c9acca-a83e-4a4f-9cb6-f47337ffbd49	GET	 undefined 	 /
20240204	21:45:37	dd7b0139-7823-4c33-94e4-047b54acf767	GET	 undefined 	 /new-page
20240204	21:54:34	931f77ec-1f3e-4ce9-b675-73556449bd54	GET	 undefined 	 /n
